num__Administrative,num__Administrative_Duration,num__Informational,num__Informational_Duration,num__ProductRelated,num__ProductRelated_Duration,num__BounceRates,num__ExitRates,num__PageValues,num__SpecialDay,cat__Month_Aug,cat__Month_Dec,cat__Month_Feb,cat__Month_Jul,cat__Month_June,cat__Month_Mar,cat__Month_May,cat__Month_Nov,cat__Month_Oct,cat__Month_Sep,cat__VisitorType_New_Visitor,cat__VisitorType_Other,cat__VisitorType_Returning_Visitor,cat__Weekend_False,cat__Weekend_True
1.75,2.0543679070994987,1.0,0.0,0.7741935483870968,0.33747141879279097,-0.17142857657142846,-0.5851477877535226,37.35725827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.25,-0.09501187648456058,0.0,0.0,0.3870967741935484,0.22034766808477055,-0.17142857657142846,-0.5053943322634731,34.14841957,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.25,-0.09501187648456058,0.0,0.0,-0.16129032258064516,-0.1517872136786231,-0.17142857657142846,0.09168982046126527,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.25,0.3272631301134864,0.0,0.0,-0.41935483870967744,-0.0453423932002257,-0.17142857657142846,0.10216867588444398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.25,-0.09501187648456058,0.0,0.0,-0.06451612903225806,0.7613388280784472,-0.17142857657142846,-0.33375097737480974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.7463710741620481,0.0,0.0,0.2903225806451613,0.3368125976950098,0.3458128130837438,-0.23181716681430503,9.128607511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2.5,17.224501546582214,0.0,0.0,-0.06451612903225806,0.9555489527389878,-0.17142857657142846,-0.32508210112893193,10.78136364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.5,0.7664291369754552,0.0,0.0,-0.2903225806451613,0.5651909935317022,-0.17142857657142846,-0.23839353892073506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.75,1.232339227236738,0.0,0.0,-0.3548387096774194,-0.4149281109920743,1.8285713634285727,-0.023839345309905818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.5,1.3723937714436527,0.0,0.0,-0.25806451612903225,-0.2634177129107195,-0.17142857657142846,-0.4951250533766134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
